Time;AccX;AccY;AccZ;GyX;GyY;GyZ

43,190560,0337;0,0039;-0,0022;-6,26;2,93;1,75
43,204810,0325;0,0039;0,0029;-6;2,74;1,56
43,218230,031;0,0066;-0,0051;-5,98;2,85;1,6
43,231560,0286;0,0017;-0,0093;-6,04;3,08;1,49
43,240250,0286;0,0017;-0,0093;-6,04;3,08;1,49
43,249260,0286;0,0017;-0,0093;-6,04;3,08;1,49
43,257880,0283;-0,0024;0,0024;-6,04;2,95;1,53
43,266590,0283;-0,0024;0,0024;-6,04;2,95;1,53
43,275090,0283;-0,0024;0,0024;-6,04;2,95;1,53
43,2840,032;0,0012;-0,001;-6,09;2,8;1,7
43,292340,032;0,0012;-0,001;-6,09;2,8;1,7
43,301270,032;0,0012;-0,001;-6,09;2,8;1,7
43,315150,0337;0,0042;-0,0007;-6,14;3,02;1,64
43,323550,0337;0,0042;-0,0007;-6,14;3,02;1,64
43,333510,0308;-0,0044;-0,0107;-5,92;2,9;1,66
43,346520,0308;-0,0044;-0,0107;-5,92;2,9;1,66
43,355150,0305;0,0056;-0,0037;-6,08;2,98;1,61
43,36410,0305;0,0056;-0,0037;-6,08;2,98;1,61
43,372950,0305;0,0056;-0,0037;-6,08;2,98;1,61
43,381980,03;-0,0007;0,0056;-6,12;2,92;1,72
43,391930,03;-0,0007;0,0056;-6,12;2,92;1,72
43,40280,0286;-0,001;0,0022;-6,18;2,92;1,76
43,418510,031;0,0012;-0,0117;-6,22;3,04;1,64
43,429020,031;0,0012;-0,0117;-6,22;3,04;1,64
43,438970,0254;0,0007;-0,0051;-5,98;2,73;1,49
43,449460,0254;0,0007;-0,0051;-5,98;2,73;1,49
43,45980,0312;-0,0007;-0,0098;-6,27;2,75;1,59
43,470320,0312;-0,0007;-0,0098;-6,27;2,75;1,59
43,480560,0259;-0,0042;-0,0103;-6,11;2,78;1,52
43,490150,0259;-0,0042;-0,0103;-6,11;2,78;1,52
43,50380,0303;-0,001;-0,0051;-6,07;2,83;1,6
43,517920,0239;-0,0002;0,0017;-5,86;3,01;1,47
43,5270,0239;-0,0002;0,0017;-5,86;3,01;1,47
43,53720,0278;0,001;-0,0122;-5,98;2,9;1,73
43,545880,0278;0,001;-0,0122;-5,98;2,9;1,73
